,endTime,artistName,trackName,msPlayed
2051,2021-03-16 22:16,The Wonder Years,My Life as a Pigeon,186493
2052,2021-03-16 22:20,The Wonder Years,Summers in PA,197520
2053,2021-03-16 22:23,The Wonder Years,I Wont Say the Lords Prayer,186000
2054,2021-03-16 22:26,The Wonder Years,Coffee Eyes,219773
2055,2021-03-16 22:28,The Wonder Years,Ive Given You All,100120
2056,2021-03-16 22:32,My Chemical Romance,I'm Not Okay (I Promise),4768
2057,2021-03-16 22:32,The Wonder Years,Dont Let Me Cave In,203000
2058,2021-03-16 22:32,The Wonder Years,Living Room Song,6528
2059,2021-03-16 22:32,The Wonder Years,Hoodie Weather,1653
2060,2021-03-16 22:32,The Wonder Years,You Made Me Want to be a Saint,22362
2061,2021-03-16 22:36,Taking Back Sunday,Cute Without The 'E' (Cut From The Team) - Remastered,212937
2062,2021-03-16 22:36,The Used,The Taste of Ink,12866
2063,2021-03-16 22:39,Mayday Parade,Jamie All Over,216000
2064,2021-03-16 22:43,All Time Low,"Dear Maria, Count Me In",182826
2065,2021-03-16 22:46,My Chemical Romance,I'm Not Okay (I Promise),186480
2066,2021-03-16 22:49,Taking Back Sunday,Cute Without The 'E' (Cut From The Team) - Remastered,5383
2067,2021-03-16 22:49,Panic! At The Disco,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off,200226
2068,2021-03-16 22:53,Relient K,Be My Escape,240453
2069,2021-03-16 22:57,Paramore,Misery Business,211520
2070,2021-03-16 22:59,My Chemical Romance,Teenagers,161920
2071,2021-03-16 23:03,All Time Low,Weightless,198000
2072,2021-03-16 23:06,Panic! At The Disco,I Write Sins Not Tragedies,186634
2073,2021-03-16 23:10,Fall Out Boy,"Sugar, We're Goin Down",229093
2074,2021-03-16 23:13,The All-American Rejects,"Swing, Swing",233266
2075,2021-03-16 23:14,Jimmy Eat World,Sweetness,1980
2076,2021-03-16 23:17,Yellowcard,Ocean Avenue,198266
2077,2021-03-16 23:20,The Red Jumpsuit Apparatus,Face Down,192000
2078,2021-03-16 23:24,Sugarcult,Memory,226080
2079,2021-03-16 23:27,Paramore,Ignorance,218626
2080,2021-03-16 23:33,My Chemical Romance,Welcome to the Black Parade,311106
2081,2021-03-17 02:35,Goth Babe,End Summer,4831
2082,2021-03-17 02:35,Real Friends,Me First,13280
2083,2021-03-17 02:35,The Unrighteous Brothers,Unchained Melody,3210
2084,2021-03-17 02:35,blink-182,First Date,148000
2085,2021-03-17 02:38,Real Friends,I've Given Up on You,163999
2086,2021-03-17 02:41,Real Friends,Me First,193280
2087,2021-03-17 02:44,Real Friends,From The Outside,185493
2088,2021-03-17 02:48,Real Friends,Get By,212893
2089,2021-03-17 02:51,Real Friends,Mess,188493
2090,2021-03-17 02:54,Real Friends,Late Nights in My Car,201473
2091,2021-03-17 03:01,Real Friends,I Don't Love You Anymore,13190
2092,2021-03-17 03:01,André De Shields,Road to Hell,2154
2093,2021-03-17 04:04,Of Mice & Men,My Understandings,223530
2094,2021-03-17 04:08,Alexisonfire,This Could Be Anywhere In The World,243466
2095,2021-03-17 04:12,Sleeping With Sirens,If You Can't Hang,250240
2096,2021-03-17 04:16,Architects,Hereafter,255586
2097,2021-03-17 04:20,ERRA,House of Glass,11048
2098,2021-03-17 04:20,Polaris,Masochist,5141
2099,2021-03-17 04:20,A Day To Remember,All Signs Point to Lauderdale,197200
